icao_code,telephony,company_name,country,is_virtual,notes
GAO,SOAR,LIAT (2020) LIMITED,ANTIGUA AND BARBUDA,f,
GAP,AIRPHIL,AIR PHILIPPINES CORPORATION,PHILIPPINES,f,
GAR,GLORY AIR,GLORY AIRLINE,NIGERIA,f,
GAS,GALENA AIR SERVICE,"GALENA AIR SERVICE (GALENA, AK)",UNITED STATES,f,
GAT,GULF TRANS,"GULF AIR INC. (NEW IBERIA, LA)",UNITED STATES,f,
GAV,GRAVITY,GLOBAL REACH AVIATION,DENMARK,f,
GAW,SKYCRAWLER,GLOBAL AIRLIFT LIMITED,KENYA,f,
GAX,GRAND AIRE,"FULL EXPRESS, INC. (SWANTON, OH)",UNITED STATES,f,
GBA,GULF BAHRAIN,GULF AIR BAHRAIN B.S.C.,BAHRAIN,f,
GBB,GLOBE,GLOBAL AVIATION OPERATIONS (PTY) LTD,SOUTH AFRICA,f,
GBC,GABON CARGO,GABON AIRLINES CARGO,GABON,f,
GBE,GABEX,GABON EXPRESS,GABON,f,
GBF,NIMBA,GLOBAL AVIATION,BURKINA FASO,f,
