Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
LGB,LGB SLI SLI341 ELMOO V186 VNY WHP,WHP,,,,TEC,FUL LGB SLI SNA TOA (RWY11) TO BUR VNY WHP (LAXE),JMPQ60,,CSTP5,1,ZLA,ZLA
LGB,LGB SLI V23 POPPR SMO125 SMO SMO317 CANOG WHP,WHP,,,,TEC,FUL LGB SLI SNA TOA (RWY11) TO WHP VNY,PQ40,,CSTP3,2,ZLA,ZLA
LGB,LGB SLI V23 LAX LAX320 CANOG WHP,WHP,,,,TEC,FUL LGB SLI SNA TOA (RWY11) TO WHP VNY,JM60,,CSTP4,3,ZLA,ZLA
LIT,LIT J180 SWB WAPPL6 HOU,HOU,,,,H,,,TURBOJETS-DME/DME/IRU OR GPS,,1,ZME,ZHU
LIT,LIT J180 SWB CESAN CESAN4 HOU,HOU,,,,H,,,NON-TURBOJETS-DME/DME/IRU OR GPS,,2,ZME,ZHU
LIT,LIT LIT J180 SWB GESNR1 IAH,IAH,,,,H,,,TURBOJETS. TURBOPROPS,IAH EAST FLOW,2,ZME,ZHU
LIT,LIT LIT J180 SWB ZEEKK2 IAH,IAH,,,,H,,,TURBOJETS. TURBOPROPS,IAH WEST FLOW,3,ZME,ZHU
LIT,LIT J180 IAH,IAH,1200-0400,,,HSD,,,,SW BND,1,ZME,ZHU
LIT,LIT BARFF UJM6 MEM,MEM,,,,SHD,TRAFFIC ENTERING MEMPHIS ARTCC ON OR SOUTH OF J6,,NON-RNAV EQUIPPED,SOUTHWEST,1,ZME,ZME
LIT,LIT LIT HOBRK3 MEM,MEM,,,,SHD,TRAFFIC ENTERING MEMPHIS ARTCC ON OR SOUTH OF J6,,RNAV ONLY,SOUTHWEST,2,ZME,ZME
LMN,LMN BDF J64 FWA APE AIR MGW GIBBZ4 IAD,IAD,,,,SHD,TRAFFIC OVERFLYING LAMONI (LMN) VORTAC TO WASHINGTON DULLES (IAD),,GPS OR DME/DME-IRU EQUIPPED,,2,,ZDC
LNK,LNK FOD DBQ JVL1 ORD,ORD,0700-2359,,,H,,,,,1,ZMP,ZAU
LNK,LNK FOD MYRRS FYTTE7 ORD,ORD,,,,H,,,RNAV,,2,ZMP,ZAU
LPC,LPC RZS V186 PDZ AJO,AJO,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC AVX,AVX,,,,TEC,SBP SMX VBG LPC IZA TO AVX,JMPQ70,,SBAP39,1,ZLA,ZLA
LPC,LPC RZS V186 FIM BUR,BUR,,,,TEC,SBP SMX VBG LPC IZA TO BUR VNY WHP,PQ70,,SBAP37,1,ZLA,ZLA
LPC,LPC RZS V386 FIM FERN7 BUR,BUR,,,,TEC,SBP SMX VBG LPC IZA TO BUR VNY,J110M90,,SBAP38,2,ZLA,ZLA
LPC,LPC RZS V186 ITSME V264 POM CCB,CCB,,,,TEC,SBP SMX VBG LPC IZA TO CCB,PQ70,,SBAP49,1,ZLA,ZLA
LPC,LPC RZS V386 FIM V186 ITSME V264 POM CCB,CCB,,,,TEC,SBP SMX VBG LPC IZA TO CCB,J110M90,,SBAP50,2,ZLA,ZLA
LPC,LPC RZS VTU CMA,CMA,,,,TEC,SBP SMX VBG LPC IZA TO OXR CMA NTD,JMPQ70,,SBAP70,1,ZLA,ZLA
LPC,LPC RZS V186 PDZ CNO,CNO,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V597 OCN CRQ,CRQ,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,PQ90,,SBAP59,1,ZLA,ZLA
LPC,LPC RZS V186 ROBNN V458 OCN CRQ,CRQ,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB (LAXE),PQ70,,SBAP60,2,ZLA,ZLA
LPC,LPC RZS VTU V208 SXC V208 OCN CRQ,CRQ,,,,TEC,SBP SMX VBG LPC IZA TO CRQ NFG NKX OKB,J110M90,,SBAP61,3,ZLA,ZLA
LPC,LPC RZS V186 PDZ EMT,EMT,,,,TEC,SBP SMX VBG LPC IZA TO CNO EMT REI L65 AJO POC ONT RAL RIR RIV SBD,PQ70,,SBAP51,1,ZLA,ZLA
LPC,LPC RZS V186 PDZ PDZ092/015 JESEX F70,F70,,,,TEC,SBP SMX VBG LPC IZA TO F70,PQ70,,SBAP57,1,ZLA,ZLA
LPC,LPC RZS V386 FIM V186 ITSME V264 POM V197 PDZ PDZ092/015 JESEX F70,F70,,,,TEC,SBP SMX VBG LPC IZA TO F70,J110M90,,SBAP58,2,ZLA,ZLA
